nodeId1,portId1,nodeId2,portId2,bandwidth,delay
0,0,32,0,400Gbps,21ns
1,0,33,0,400Gbps,21ns
2,0,32,1,400Gbps,21ns
3,0,33,1,400Gbps,21ns
4,0,34,0,400Gbps,21ns
5,0,35,0,400Gbps,21ns
6,0,34,1,400Gbps,21ns
7,0,35,1,400Gbps,21ns
8,0,36,0,400Gbps,21ns
9,0,37,0,400Gbps,21ns
10,0,36,1,400Gbps,21ns
11,0,37,1,400Gbps,21ns
12,0,38,0,400Gbps,21ns
13,0,39,0,400Gbps,21ns
14,0,38,1,400Gbps,21ns
15,0,39,1,400Gbps,21ns
16,0,40,0,400Gbps,21ns
17,0,41,0,400Gbps,21ns
18,0,40,1,400Gbps,21ns
19,0,41,1,400Gbps,21ns
20,0,42,0,400Gbps,21ns
21,0,43,0,400Gbps,21ns
22,0,42,1,400Gbps,21ns
23,0,43,1,400Gbps,21ns
24,0,44,0,400Gbps,21ns
25,0,45,0,400Gbps,21ns
26,0,44,1,400Gbps,21ns
27,0,45,1,400Gbps,21ns
28,0,46,0,400Gbps,21ns
29,0,47,0,400Gbps,21ns
30,0,46,1,400Gbps,21ns
31,0,47,1,400Gbps,21ns
32,2,48,0,400Gbps,22ns
32,3,49,0,400Gbps,22ns
32,4,50,0,400Gbps,22ns
32,5,51,0,400Gbps,22ns
33,2,48,1,400Gbps,22ns
33,3,49,1,400Gbps,22ns
33,4,50,1,400Gbps,22ns
33,5,51,1,400Gbps,22ns
34,2,48,2,400Gbps,22ns
34,3,49,2,400Gbps,22ns
34,4,50,2,400Gbps,22ns
34,5,51,2,400Gbps,22ns
35,2,48,3,400Gbps,22ns
35,3,49,3,400Gbps,22ns
35,4,50,3,400Gbps,22ns
35,5,51,3,400Gbps,22ns
36,2,48,4,400Gbps,22ns
36,3,49,4,400Gbps,22ns
36,4,50,4,400Gbps,22ns
36,5,51,4,400Gbps,22ns
37,2,48,5,400Gbps,22ns
37,3,49,5,400Gbps,22ns
37,4,50,5,400Gbps,22ns
37,5,51,5,400Gbps,22ns
38,2,48,6,400Gbps,22ns
38,3,49,6,400Gbps,22ns
38,4,50,6,400Gbps,22ns
38,5,51,6,400Gbps,22ns
39,2,48,7,400Gbps,22ns
39,3,49,7,400Gbps,22ns
39,4,50,7,400Gbps,22ns
39,5,51,7,400Gbps,22ns
40,2,48,8,400Gbps,22ns
40,3,49,8,400Gbps,22ns
40,4,50,8,400Gbps,22ns
40,5,51,8,400Gbps,22ns
41,2,48,9,400Gbps,22ns
41,3,49,9,400Gbps,22ns
41,4,50,9,400Gbps,22ns
41,5,51,9,400Gbps,22ns
42,2,48,10,400Gbps,22ns
42,3,49,10,400Gbps,22ns
42,4,50,10,400Gbps,22ns
42,5,51,10,400Gbps,22ns
43,2,48,11,400Gbps,22ns
43,3,49,11,400Gbps,22ns
43,4,50,11,400Gbps,22ns
43,5,51,11,400Gbps,22ns
44,2,48,12,400Gbps,22ns
44,3,49,12,400Gbps,22ns
44,4,50,12,400Gbps,22ns
44,5,51,12,400Gbps,22ns
45,2,48,13,400Gbps,22ns
45,3,49,13,400Gbps,22ns
45,4,50,13,400Gbps,22ns
45,5,51,13,400Gbps,22ns
46,2,48,14,400Gbps,22ns
46,3,49,14,400Gbps,22ns
46,4,50,14,400Gbps,22ns
46,5,51,14,400Gbps,22ns
47,2,48,15,400Gbps,22ns
47,3,49,15,400Gbps,22ns
47,4,50,15,400Gbps,22ns
47,5,51,15,400Gbps,22ns
